title,authors,isbn,description,genre
Inner Circle (Carol Ashton Mysteries  #8),Claire McNab,156280135X,No description available,Unknown
The Rising Tide (World War II: 1939-1945  #1),Jeff Shaara,034546141X,No description available,Unknown
Jeff Shaara's Civil War Battlefields: Discovering America's Hallowed Ground,Jeff Shaara,0345464885,No description available,Unknown
Rise to Rebellion,Jeff Shaara,0345427548,No description available,Unknown
Gone for Soldiers: A Novel of the Mexican War,Jeff Shaara,0345427513,No description available,"Fiction, historical, general, Mexico, fiction, Fiction, war & military, Fiction, Mexican War, 1846-1848"
The Last Full Measure (The Civil War Trilogy  #3),Jeff Shaara,0345434811,No description available,Unknown
A Farewell to Arms?: Beyond the Good Friday Agreement,Adrian Guelke/Michael Cox/Fiona Stephen,0719071151,No description available,Unknown
When Smoke Ran Like Water: Tales Of Environmental Deception And The Battle Against Pollution,Devra Davis/Mitchell Gaynor,0465015220,No description available,"Fiction, History, Fiction, war & military, Fiction, historical, Chamberlain, joshua lawrence, 1828-1914, fiction, Lee, robert e. (robert edward), 1807-1870, fiction, Fiction, historical, general"
What Work Is,Philip Levine,0679740589,No description available,Unknown
The Simple Truth,Philip Levine/Harry Ford,0679765840,No description available,Unknown
Fiskadoro,Denis Johnson,0060976098,No description available,Unknown
Illusions: The Adventures of a Reluctant Messiah,Richard Bach,0099427869,No description available,"Adventure stories, Allegories, Fiction, Messiah, faith, planes, Juvenile fiction, Reality, Fiction, general, Large type books, Dutch fiction, Fiction in English, General Fiction"
There's No Such Place As Far Away,Richard Bach/H. Lee Shapiro/دل آرا قهرمان,0385319274,No description available,Unknown
Running from Safety: An Adventure of the Spirit,Richard Bach,0385315287,No description available,Unknown
A Gift Of Wings,Richard Bach,0330304216,No description available,Unknown
Winter of Magic's Return,Pamela F. Service,0449702022,No description available,Unknown
A Modern Utopia,H.G. Wells/Gregory Claeys/Francis Wheen,0141441127,No description available,Unknown
The War of the Worlds,H.G. Wells/Leon Stover,0786407808,No description available,"Utopias, Fiction, Science Fiction, Classic Literature, Political science, Nonfiction, Philosophy, Fiction, general, English Science fiction"
The Shape of Things to Come,H.G. Wells/John Clute,0141441046,No description available,Unknown
Floor Games (Sandplay Classics),H.G. Wells/Barbara A. Turner,0972851720,No description available,Unknown
Seven Novels,H.G. Wells,0706425618,No description available,Unknown
Three Prophetic Science Fiction Novels,H.G. Wells/E.F. Bleiler,0844631515,No description available,Unknown
Science Fiction Treasury: Six Complete Novels (complete & unabridged),H.G. Wells/George Gesner,0517436329,No description available,"English Science fiction, Long Now Manual for Civilization, Fiction, science fiction, general, Future, The, in literature, Futur dans la littérature"
The Island of Doctor Moreau,H.G. Wells,0553214322,No description available,Unknown
Notebooks of the Mind: Explorations of Thinking  Revised Edition,Vera John-Steiner,0195108965,No description available,Unknown
The Visible Hand: The Managerial Revolution in American Business,Alfred D. Chandler Jr.,0674940520,No description available,Unknown
Crime Stories and Other Writings,Dashiell Hammett/Steven Marcus,1931082006,No description available,"American Detective and mystery stories, Detective and mystery stories"
The Maltese Falcon,Dashiell Hammett,0752865331,No description available,Unknown
Lost Stories,Dashiell Hammett/Vince Emery/Joe Gores,0972589813,No description available,Unknown
The Dain Curse,Dashiell Hammett,0752851802,No description available,Unknown
The Big Knockover: Selected Stories and Short Novels,Dashiell Hammett/Lillian Hellman/Jeff Stone,0679722599,No description available,Unknown
Red Harvest,Dashiell Hammett,0752852612,No description available,Unknown
The Complete Stories  Vol 1,Isaac Asimov,038541627X,No description available,"Fiction, Private investigators, Continental Op (Fictitious character), Fiction in English, Gangs, Large type books, Fiction, mystery & detective, hard-boiled, Continental op (fictitious character), fiction, Private investigators, fiction, United states, fiction, Fiction, mystery & detective, general, Fiction, crime"
Xénocide (Ender's Saga  #3),Orson Scott Card,2290315524,No description available,Unknown
Edgar A. Poe: Mournful and Never-ending Remembrance,Kenneth Silverman,0060923318,No description available,Unknown
Tales of Mystery and Madness,Edgar Allan Poe/Gris Grimly,0689848374,No description available,Unknown
Elric of Melniboné (The Elric Saga  #1),Michael Moorcock,0441203981,No description available,"Fiction, Elric of Melniboné (Fictitious character), Fiction, fantasy, general, Elric of melnibone (fictitious character), fiction, Fiction, fantasy, epic, Melnibone (imaginary place), fiction"
The Prize (deWarenne Dynasty  #4),Brenda Joyce,0778320898,No description available,Unknown
Elric of Melnibone: Bright Shadows,Charles  Green/Richard Ford/Pascal Quidault,1905850581,No description available,Unknown
A River Runs Through it and Other Stories,Norman Maclean/Annie Proulx,0226500667,No description available,Unknown
Young Men and Fire,Norman Maclean,0226500624,No description available,Unknown
When the Rivers Run Dry: Water - The Defining Crisis of the Twenty-first Century,Fred Pearce,0807085731,No description available,"Desertification, Water-supply, Water consumption, Water resources development, Political aspects, Economic aspects, Mise en valeur des ressources, Ressources en eau, Wasserreserve, Water supply, Gestion des eaux, Knappheit, Distribution de l'eau, Wasser, Wassermangel, Wasserversorgung, Exploitation, Water use, Aspect politique, Rivers, Utilisation, Cours d'eau, Approvisionnement, Eau, Aspect économique, Water conservation, Water-supply engineering, Tc405 .p43 2006, 333.91"
The River Runs Black: The Environmental Challenge to China's Future,Elizabeth C. Economy,0801489784,No description available,Unknown
Only the River Runs Free (The Galway Chronicles  #1),Bodie Thoene/Brock Thoene,0785263780,No description available,Unknown
It's Not About the Bike: My Journey Back to Life,Lance Armstrong/Sally Jenkins,0224060872,No description available,Unknown
The Walking Dead  Vol. 5: The Best Defense,Robert Kirkman/Charlie Adlard/Cliff Rathburn,158240612X,No description available,Unknown
Being Dead Is No Excuse: The Official Southern Ladies Guide to Hosting the Perfect Funeral,Gayden Metcalfe,1401359345,No description available,Unknown
Drop Dead Gorgeous (Blair Mallory  #2),Linda Howard,0345486587,No description available,"Weddings, Fiction, Planning, Attempted murder, Romance, Suspense, Suspense Fiction, Women-owned business enterprises, Blair Mallory Series, Fiction, general"
The Book of the Dead (Pendergast  #7; Diogenes  #3),Douglas Preston/Lincoln Child,0446576980,No description available,Unknown
The Walking Dead  Vol. 3: Safety Behind Bars,Robert Kirkman/Charlie Adlard/Cliff Rathburn,1582404879,No description available,Unknown
The Walking Dead  Book One (The Walking Dead #1-12),Robert Kirkman/Tony Moore/Charlie Adlard/Cliff Rathburn,1582406197,No description available,Unknown
The Brief History of the Dead,Kevin Brockmeier,1400095956,No description available,"Death, Epidemics, Fiction, Wilderness survival, Future life, Antarctica, fiction, Fiction, fantasy, general"
Beckett Football Card Price Guide,Dan Hitt/James Beckett III,1930692471,No description available,Unknown
The Power of Infinite Love & Gratitude: An Evolutionary Journey to Awakening Your Spirit,Darren R. Weissman,1401917178,No description available,Unknown
Masculinity and Male Codes of Honor in Modern France,Robert A. Nye,0520215109,No description available,Unknown
The Life and Death of My Lord Gilles de Rais,Robert Nye,0349102503,No description available,Unknown
The White Wolf's Son: The Albino Underground (Elric & Oona Von Bek  #3),Michael Moorcock,0446617458,No description available,"Fiction, Swordsmen, Albinos and albinism, Fiction, fantasy, general, Elric of melnibone (fictitious character), fiction"
Michael Moorcock's Multiverse,Michael Moorcock/Walter Simonson/Mark Reeve/John Ridgway,1563895161,No description available,Unknown
Gloriana,Michael Moorcock,0446691402,No description available,Unknown
The Eternal Champion (Eternal Champion  #1),Michael Moorcock,1565041917,No description available,Unknown
The Spell,Alan Hollinghurst,0140286373,No description available,Unknown
The Swimming-Pool Library,Alan Hollinghurst,0679722564,No description available,"Gay men, fiction, Fiction, general, Fiction, Gay men, Interpersonal relations, Sexuality, Aristocracy (Social class), LGBTQ novels, Stonewall Book Awards, Lambda Literary Awards, Lambda Literary Award Winner, English literature, Fiction, lgbtq+, gay, England, fiction, London (england), fiction"
The Ivory Tower,Henry James/Alan Hollinghurst/Ezra Pound,1590170784,No description available,Unknown
America Alone: The End of the World As We Know It,Mark Steyn,0895260786,No description available,Unknown
Where the Sidewalk Ends: Poems and Drawings,Shel Silverstein,0060572345,No description available,Unknown
A Light in the Attic,Shel Silverstein,0060513063,No description available,"Humorous poetry, American Humorous poetry, Spanish language materials, Children's poetry, American poetry, Children's poetry, American, Humorous poetry., Poesía infantil, Poesía infantil estadounidense, Poesía humorística, Juvenile literature, Children's literature, JUVENILE FICTION, Classics, Humorous Stories, Poetry, Wit and humor"
The Missing Piece (The Missing Piece  #1),Shel Silverstein,0060256710,No description available,Unknown
The Missing Piece Meets the Big O,Shel Silverstein,0060256575,No description available,Unknown
Lafcadio  the Lion Who Shot Back,Shel Silverstein,0060256753,No description available,Unknown
A Light in the Attic (Book & CD),Shel Silverstein,0066236177,No description available,"Circle, Children's stories, Fiction, Self-actualization (Psychology), Fables, Self-reliance, Children's fiction, Self-acceptance, fiction"
Runny Babbit Book and Abridged CD,Shel Silverstein/Dennis Locorriere,0061130478,No description available,Unknown
L'albero,Shel Silverstein/Daniela Gamba,887782719X,No description available,Unknown
The Beginning: The Cove / The Maze (FBI Thriller #1-2),Catherine Coulter,0425205517,No description available,Unknown
Jade Star (Star  #4),Catherine Coulter,0451206126,No description available,"Fiction, Physicians' spouses, Slave trade, Physicians, Physicians in fiction, Children of clergy, Children of clergy in fiction, Slave trade in fiction, Physicians' spouses in fiction, Large type books, History, Children of clergy -, Slave trade -, Historical stories, Fiction, romance, historical, general, San francisco (calif.), fiction, Fiction, general"
Double Take (FBI Thriller  #11),Catherine Coulter,0399154248,No description available,Unknown
The Valentine Legacy (Legacy #3),Catherine Coulter,0515118362,No description available,Unknown
Undead and Unwed (Undead  #1),MaryJanice Davidson,1597221104,No description available,Unknown
Undead and Unappreciated (Undead  #3),MaryJanice Davidson,1597221287,No description available,Unknown
Marked (House of Night  #1),P.C. Cast/Kristin Cast,0312360266,No description available,Unknown
Divine By Choice (Partholon  #2),P.C. Cast,037380251X,No description available,Unknown
Divine By Mistake (Partholon  #1),P.C. Cast,0373802471,No description available,Unknown
Cast in Courtlight (Chronicles of Elantra  #2),Michelle Sagara,0373802447,No description available,"Children's fiction, Vampires, fiction, Occultism, fiction, Fantasy fiction, nyt:paperback-books=2008-08-24, New York Times bestseller"
Goddess of Light (Goddess Summoning  #3),P.C. Cast,0425201961,No description available,Unknown
Brighid's Quest (Partholon  #5),P.C. Cast,0373802420,No description available,Unknown
Goddess of the Rose (Goddess Summoning  #4),P.C. Cast,0425208915,No description available,Unknown
Goddess of Spring (Goddess Summoning  #2),P.C. Cast,0425197492,No description available,Unknown
Goddess of the Sea (Goddess Summoning  #1),P.C. Cast,0425192792,No description available,"Fantasy, Fiction, Romance, Young Adult, Children's fiction, Fantasy fiction, Friendship, fiction, Fiction, romance, general"
Mysteria (Mysteria  #1),MaryJanice Davidson/Susan Grant/P.C. Cast/Gena Showalter,0425211061,No description available,"Fiction, Mermaids, Goddesses, Time travel, Fiction, romance, fantasy"
Elphame's Choice (Partholon  #4),P.C. Cast,0373802137,No description available,Unknown
Loveless  Vol. 1: A Kin of Homecoming,Brian Azzarello/Marcelo Frusín,1401210619,No description available,Unknown
Where the Mountain Casts Its Shadow: The Dark Side of Extreme Adventure,Maria Coffey/Thomas Hornbein,0312339011,No description available,Unknown
Cast a Yellow Shadow (Mac McCorkle  #2),Ross Thomas,0445405562,No description available,"Veterans, Comic books, strips, Revenge, Western comic books, strips, Graphic novels"
Like a Velvet Glove Cast in Iron,Daniel Clowes,1560971169,No description available,"Fantasy, Fiction, Young Adult, Young Adult Fiction, Teens -- Science Fiction & Fantasy -- Fantasy, Fiction, romance, fantasy, Children's fiction, Gods, fiction, Fantasy fiction"
Goddess of Love (Goddess Summoning  #5),P.C. Cast,0425215288,No description available,Unknown
Mistral's Kiss (Merry Gentry  #5),Laurell K. Hamilton,0345443586,No description available,Unknown
The Harlequin (Anita Blake  Vampire Hunter #15),Laurell K. Hamilton,0425217248,No description available,"Fiction, Romance, Fiction, romance, general, Fiction, fantasy, general, Venus (Roman deity)"
A Stroke of Midnight (Merry Gentry  #4),Laurell K. Hamilton,0345443608,No description available,Unknown
Danse Macabre (Anita Blake  Vampire Hunter  #14),Laurell K. Hamilton,0425207978,No description available,Unknown
Micah (Anita Blake  Vampire Hunter  #13),Laurell K. Hamilton,0515140872,No description available,Unknown
Death of a Darklord (Ravenloft #13),Laurell K. Hamilton,0786941227,No description available,"Fiction, Anita Blake (Fictitious character), American Horror tales, Vampires, Fiction, fantasy, contemporary, Blake, anita (fictitious character), fiction, Vampires, fiction, Horror fiction, Love stories"
Anita Blake  Vampire Hunter Collection 1-4 (Anita Blake  Vampire Hunter  #1-4),Laurell K. Hamilton,0515136174,No description available,Unknown
Little Butterfly  Volume 02,Hinako Takanaga,1569709068,No description available,Unknown
Little Butterfly  Volume 03,Hinako Takanaga,156970905X,No description available,Unknown
Little Butterfly  Volume 01,Hinako Takanaga,1569709076,No description available,"Comics & graphic novels, general"
The Little Butterfly,Sherry Shahan,0679888098,No description available,Unknown
A Caress of Twilight (Merry Gentry  #2),Laurell K. Hamilton,0345478169,No description available,Unknown
Bloody Bones (Anita Blake  Vampire Hunter #5),Laurell K. Hamilton,0425205673,No description available,Unknown
Burnt Offerings (Anita Blake  Vampire Hunter  #7),Laurell K. Hamilton,0515134473,No description available,"Fiction, Real estate development in fiction, Crimes against, Anita Blake (Fictitious character), Real estate development, Teenages, Teenages in fiction, Vampires in fiction, Missouri in fiction, Vampires, Blake, anita (fictitious character), fiction, Fiction, horror, Vampires, fiction"
Seduced by Moonlight (Merry Gentry  #3),Laurell K. Hamilton,0553816322,No description available,Unknown
The Killing Dance (Anita Blake  Vampire Hunter  #6),Laurell K. Hamilton,0425209067,No description available,Unknown
Cerulean Sins (Anita Blake  Vampire Hunter  #11),Laurell K. Hamilton,0515136816,No description available,Unknown
Blue Moon (Anita Blake  Vampire Hunter  #8),Laurell K. Hamilton,0515134457,No description available,"Fiction, Vampires, Horror tales, Fantasy fiction, Anita Blake (Fictitious character), Blake, Anita (Fictitious character) -- Fiction, Vampires -- Fiction, Fiction, horror, Blake, anita (fictitious character), fiction, Vampires, fiction, Tennessee, fiction, Fiction, mystery & detective, women sleuths, Werewolves"
A Stolen Season (Alex McKnight  #7),Steve Hamilton,031235360X,No description available,Unknown
Narcissus in Chains (Anita Blake  Vampire Hunter  #10),Laurell K. Hamilton,0515133876,No description available,Unknown
Sensual Phrase  Vol. 15,Mayu Shinjō,1421505606,No description available,Unknown
Sensual Phrase  Vol. 17,Mayu Shinjō,1421505622,No description available,"Rock groups, Comic books, strips, Comics & graphic novels, east asian style, manga, romance, Musicians, fiction, Man-woman relationships, fiction"
Sensual Phrase  Vol. 3,Mayu Shinjō,1591164494,No description available,Unknown
Harrison's Principles of Internal Medicine,Dennis L. Kasper/Dan L. Longo/Stephen L. Hauser/Anthony S. Fauci/Eugene Braunwald,0071391401,No description available,Unknown
For a Few Demons More (The Hollows  #5),Kim Harrison,0060788380,No description available,Unknown
A Fistful of Charms (The Hollows  #4),Kim Harrison,0060788194,No description available,Unknown
The Good  the Bad  and the Undead (The Hollows  #2),Kim Harrison,0060572973,No description available,Unknown
Every Which Way But Dead (The Hollows  #3),Kim Harrison,006057299X,No description available,"Paranormal fiction, Fiction, Fantasy, Supernatural, Rachel Morgan (Fictitious character), Serial murderers, Women bounty hunters, Fiction, fantasy, general, Cincinnati (ohio), fiction, Vampires, fiction, Vampires, Demonology"
Dead Witch Walking (The Hollows  #1),Kim Harrison,0060572965,No description available,Unknown
Dates from Hell,Kim Harrison/Lynsay Sands/Kelley Armstrong/Lori Handeland,006085409X,No description available,Unknown
Pacto Con un Demonio,Kim Harrison,0060898720,No description available,Unknown
Incubus Dreams (Anita Blake  Vampire Hunter  #12),Laurell K. Hamilton,0515139750,No description available,"Fiction, Stripteasers, Serial murders, Crimes against, Anita Blake (Fictitious character), Vampires, Anita Blake (Fictional character), Mystery fiction, Horror fiction, Fiction, fantasy, general, Fiction, horror, Vampires, fiction, Blake, anita (fictitious character), fiction"
Schattenkuss (Meredith Gentry  #1),Laurell K. Hamilton,3442356911,No description available,Unknown
The Lunatic Cafe (Anita Blake  Vampire Hunter #4),Laurell K. Hamilton,0425201376,No description available,Unknown
Circus of the Damned (Anita Blake  Vampire Hunter  #3),Laurell K. Hamilton,0425201392,No description available,Unknown
Bite (Anita Blake  Vampire Hunter  #8.5; Sookie Stackhouse  #5.1; Undead  #2.5; Mageverse  #1.5),Laurell K. Hamilton/Charlaine Harris/MaryJanice Davidson/Angela Knight/Vickie Taylor,051513970X,No description available,Unknown
Out of this World,J.D. Robb/Laurell K. Hamilton/Susan Krinard/Maggie Shayne,0515131091,No description available,Unknown
Guilty Pleasures (Anita Blake  Vampire Hunter  #1),Laurell K. Hamilton,0425197549,No description available,"2000's, Anthology, Fantasy Fiction, American Fantasy fiction, Large type books, American fiction (collections), 20th century"
Cravings (Undead #1.5; Moon #3.5),Laurell K. Hamilton/MaryJanice Davidson/Eileen Wilks/Rebecca York,0515138150,No description available,Unknown
Nachtschwärmer (Meredith Gentry  #2),Laurell K. Hamilton,3442358957,No description available,Unknown
Laurell K. Hamilton's Anita Blake  Vampire Hunter: Guilty Pleasures vol 1,Laurell K. Hamilton/Stacie Ritchie/Jessica Ruffner/Brett Booth,0785127232,No description available,Unknown
The Republic,Plato/Desmond Lee/Maria Helena da Rocha Pereira/Benjamin Jowett,0140449140,No description available,Unknown
The Republic of Plato,Plato/Allan Bloom,0465069347,No description available,"Political science, Early works to 1800, Utopias, Ouvrages avant 1800, Science politique, Utopies, Ciencias políticas, Early works to 1700, Education, Greek Education, Justice, Literature in French, Obras anteriores a 1800, Philosophy, Political ethics, Pulitzer Prize Winner, Textual Criticism, The first of two volumes, The second of two volumes, Utopías, award:pulitzer_prize=1921, award:pulitzer_prize=fiction, Portrait photography, Portraits, Celebrities, Antiquarian, Nonfiction, Poli tica, Estado, State, The State, Political science, early works to 1800, Social and political philosophy, Political science -- Early works to 1800., Utopias., Utopias -- Early works to 1800., Metaphraseis sta nea Ellēnika, Pan stwo, Wydawnictwa przed 1800, Dzie¿a przed 1800, Philosophie grecque, Platón. República -- Crítica e interpretación, Ideas Políticas, Filosofía antigua, Ciencia política, Ciencia política -- Estado, Filosofía, Filosofía griega, Política -- Filosofía, Formas de gobierno, Justicia, Platonismo, Epistemología, Great_books_of_the_western_world, Open_syllabus_project, History, Republics, Filosofia grega, Politica (filosofia), Greek language materials, Texts, Basic english, Plato, Education of princes, Fiction, Political science--early works to 1800, Utopias--early works to 1800, Jc71 .p35 2007, 321.07, Literary collections, Love, United states, pictorial works, Photography, artistic, Continental european fiction (fictional works by one author), Philosophy / history & surveys / ancient & classical, General, History & surveys, Spirituality, Ouvrages avant 1700, Artistic Photography, Ethics, Politics and culture, Medieval Civilization, Civilization"
Five Dialogues: Euthyphro  Apology  Crito  Meno  Phaedo,Plato/G.M.A. Grube/John M. Cooper,0872206335,No description available,Unknown
Plato  Not Prozac!: Applying Eternal Wisdom to Everyday Problems,Lou Marinoff,0060931361,No description available,Unknown
Republic,Plato/C.D.C. Reeve,0872207366,No description available,Unknown
Plato's Symposium,Plato/Seth Benardete/Allan Bloom,0226042758,No description available,Unknown
The Symposium,Plato/Christopher Gill,0140446168,No description available,Unknown
The Last Days of Socrates,Plato/Hugh Tredennick/Harold Tarrant,0140449280,No description available,"Love, Early works to 1800, Soul, Rhetoric, Religious aspects of Love, Christianity, Platonic love, Influence, Ancient Rhetoric, Immortality (Philosophy), Philosophy, Theory of Knowledge, Socrate, Mythology, Amour, Imaginary conversations, American drama (dramatic works by one author), Socrates, drama, Ouvrages avant 1800, Filosofia antiga, Amor (filosofia), Socrates, Ancient Philosophy, Literature in Spanish, Symposium (Plato), Plato, History & Surveys, Ancient & Classical, Kommentar, Dialectic, Problèmes et exercices, Philosophie ancienne, Love., Philosophie, SEL Library selection, Love--early works to 1800, B385.a5 g55 1999, Great_books_of_the_western_world, Friendship, Male homosexuality, Translations into french, Philosophy, ancient, Beau (philosophie), Rhétorique ancienne, Âme, Dialectique, Rhetoric, ancient, Philosophers, greece, Collections, Criticism and interpretation, Religious aspects"
Embracing Love  Vol. 4,Youka Nitta,1933440171,No description available,"Comics & graphic novels, manga, erotica & hentai, Comics & graphic novels, manga, lgbtq+, Gay men, fiction"
Embracing Love  Vol. 5,Youka Nitta,193344018X,No description available,Unknown
Embracing the Love of God: The Path and Promise of Christian Life,James Brian Smith/Richard J. Foster,0060667419,No description available,Unknown
Embracing Love  Vol. 6,Youka Nitta,1933440198,No description available,Unknown
Jane Eyre,Charlotte Brontë/Margaret Smith/Sally Shuttleworth,0192839659,No description available,Unknown
In the Forests of the Night,Amelia Atwater-Rhodes,0440228166,No description available,"Fiction, Juvenile fiction, Time travel, Vampires, Witches, Youths' writings, Youths' writings, American, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Large type books, Youth's writings, Children's fiction, Time travel, fiction, Vampires, fiction, Witchcraft, fiction, American literature"
Hawksong (The Kiesha'ra  #1),Amelia Atwater-Rhodes,044023803X,No description available,Unknown
Demon in My View,Amelia Atwater-Rhodes,0440228840,No description available,Unknown
Shattered Mirror,Amelia Atwater-Rhodes,0440229405,No description available,Unknown
Midnight Predator,Amelia Atwater-Rhodes,0440237971,No description available,Unknown
The Pound Era,Hugh Kenner,0520024273,No description available,Unknown
Ricochet,Sandra Brown,1416532358,No description available,Unknown
The Alibi,Sandra Brown,0446618675,No description available,"Vampires, Juvenile Fiction, Fiction, Juvenile fiction, Supernatural, Youths' writings, American, Children's fiction, Mystery and detective stories"
A Whole New Light,Sandra Brown,055329783X,No description available,"Translations into Russian, American Love stories, Widows, Bachelors, Fiction, Fiction, romance, contemporary, Large type books, Fiction, romance, suspense, Acapulco (mexico), fiction"
Where There's Smoke,Sandra Brown,0446600342,No description available,Unknown
22 Indigo Place,Sandra Brown,0553290851,No description available,Unknown
Led Astray (Hellraisers  #1),Erin St. Claire/Sandra Brown,0778321584,No description available,Unknown
Tidings of Great Joy,Sandra Brown,0553576003,No description available,Unknown
A Secret Splendor,Erin St. Claire/Sandra Brown,077832284X,No description available,Unknown
Love Beyond Reason,Rachel Ryan/Sandra Brown,0446616834,No description available,"Fiction, Politicians, Women architects, Fiction, romance, general, Femmes architectes, Romans, nouvelles, Hommes politiques"
Words of Silk,Erin St. Claire/Sandra Brown,0446614165,No description available,Unknown
Two Alone,Erin St. Claire/Sandra Brown,0778324311,No description available,Unknown
Not Even for Love,Erin St. Claire/Sandra Brown,044661291X,No description available,"Fiction, Romance, Contemporary, Divorced women, fiction, Triangles (Interpersonal relations), fiction, Americans, fiction, Photojournalists, fiction, Love stories, fiction, Switzerland, fiction, Fiction, psychological, Femmes divorcées, Romans, nouvelles, Triangle (Relations humaines)"
Charade,Sandra Brown,0446601853,No description available,Unknown
Exclusive,Sandra Brown,0446604232,No description available,Unknown
Send No Flowers (Bed & Breakfast #2),Sandra Brown,0553576011,No description available,Unknown
The Thrill of Victory,Erin St. Claire/Sandra Brown,1551666723,No description available,Unknown
Heaven's Price,Sandra Brown,0553571575,No description available,Unknown
Riley in the Morning,Sandra Brown,9792234799,No description available,"Ficción, Bailarines de ballet, Ballet dancers, Fiction, Contemporary romance, Loveswept, Fiction, romance, contemporary"
The Rana Look,Sandra Brown,0553576054,No description available,Unknown
Texas! Sage (Texas! Tyler Family Saga  #3),Sandra Brown,0553295004,No description available,Unknown
Temperatures Rising,Sandra Brown,0553804081,No description available,Unknown
A Kiss Remembered,Erin St. Claire/Sandra Brown,0446612618,No description available,Unknown
Adam's Fall (Mason Sisters  #2),Sandra Brown,0553567683,No description available,Unknown
Seduction by Design,Erin St. Claire/Sandra Brown,0446603104,No description available,"Man-woman relationships, Love stories, Fiction, Large type books, Fiction, romance, contemporary"
Prime Time,Rachel Ryan/Sandra Brown,0446364290,No description available,Unknown
Tiger Prince,Erin St. Claire/Sandra Brown,155166531X,No description available,Unknown
Best Kept Secrets,Sandra Brown,0446533289,No description available,Unknown
Tomorrow's Promise,Sandra Brown,1551666014,No description available,"Fiction, Legislators, Missing in action, Radio broadcasters, Vietnamese Conflict, 1961-1975, Vietnam War, 1961-1975, Man-woman relationships, Fiction, romance, contemporary, Fiction, romance, general, Large type books, Romance fiction, Family relationships, American Love stories, nyt:mass-market-monthly=2023-08-13, New York Times bestseller"
Sweet Anger,Erin St. Claire/Sandra Brown,0446603082,No description available,Unknown
Demon Rumm,Sandra Brown,0553576070,No description available,"Fiction, Contemporary romance, Daredevils, Motion picture actors and actresses, Stunt performers, Widows, Large type books, reissue, Loveswept, Fiction, romance, general, Widows, fiction, Actors, fiction"
Breakfast in Bed (Bed & Breakfast #1),Sandra Brown,0553571583,No description available,Unknown
Above and Beyond,Erin St. Claire/Sandra Brown,077832026X,No description available,Unknown
Fanta C (Mason Sisters  #1),Sandra Brown,0553562746,No description available,Unknown
Relentless Desire,Sandra Brown,0515068705,No description available,"Fiction, Contemporary romance, Widow, Single mother, Large type books, reissue, Loveswept"
Sunny Chandler's Return,Sandra Brown,0553576062,No description available,Unknown
Sandra Brown: Three Complete Novels (Best Kept Secrets  Mirror Image  and Slow Heat in Heaven),Sandra Brown,0517077744,No description available,Unknown
The Devil's Own (Hellraiser #2),Erin St. Claire/Sandra Brown,1551667932,No description available,"Detective and mystery stories, Open Library Staff Picks, Revenge, Fiction, Mystery fiction, Sisters, Twins, Large type books, Twins, fiction, Sisters, fiction, Fiction, thrillers, general, Roman policier, Histoires d'amour, Fiction, mystery & detective, police procedural, Fiction, suspense, Psychology, Fiction, thrillers, suspense"
The Switch,Sandra Brown,0749932554,No description available,Unknown
Play Dirty,Sandra Brown,0743289358,No description available,Unknown
A Secret Splendor,Erin St. Claire/Sandra Brown,1551660954,No description available,Unknown
Texas! Trilogy,Sandra Brown,0385424701,No description available,"Murder, Women lawyers, Fiction, Investigation, Large type books, Fiction, romance, suspense, Women lawyers, fiction, nyt:mass-market-paperback=2014-04-20, New York Times bestseller, American literature"
Betrogen,Sandra Brown,3764501359,No description available,Unknown
Tempest in Eden,Sandra Brown,0446616818,No description available,Unknown
The Killing of Monday Brown,Sandra West Prowell,0553569694,No description available,Unknown
Un nuevo amanecer,Sandra Brown/Delia Mateovich,1400001048,No description available,Unknown
Fanta C (Loveswept   #217),Sandra Brown,0553218360,No description available,Unknown
Anhelos ocultos,Laura  Jordan/Sandra Brown/Camino Estañ Requeni,8401505534,No description available,"Fiction, Contemporary romance, Widow, Single mother, Large type books, reissue, Loveswept"
Schöne Lügen,Rachel Ryan/Sandra Brown,3442354994,No description available,Unknown
Yesterday  I Cried,Iyanla Vanzant,0684867486,No description available,Unknown
The Communist Manifesto,Karl Marx/Friedrich Engels/Gareth Stedman Jones,0140447571,No description available,Unknown
The Communist Manifesto and Other Revolutionary Writings: Marx  Marat  Paine  Mao  Gandhi  and Others,Bob Blaisdell/Karl Marx/Jean-Paul Marat/Tom Paine/Mao Zedong/Mahatma Gandhi,0486424650,No description available,Unknown
The Communist Manifesto with Related Documents,Karl Marx/Friedrich Engels/John E. Toews,0312157118,No description available,Unknown
The Communist Manifesto,Karl Marx/Friedrich Engels/Phil Gasper,1931859256,No description available,Unknown
