Author,Title,Description,Genre,Banned
"Michael, Crichton",Micro,"In the vein of Jurassic Park, this high-concept thriller follows a group of graduate students lured to Hawaii to work for a mysterious biotech company—only to find themselves cast out into the rain forest, with nothing but their scientific expertise and wits to protect them.  In the lush forests of Oahu, groundbreaking technology has ushered in a revolutionary era of biological prospecting, feeding a search for priceless drugs and applications on a scale beyond anything previously imagined. In Cambridge, Massachusetts, seven graduate students at the forefront of their fields are recruited by a pioneering microbiology start-up, Nanigen MicroTechnologies, which dispatches the group to a mysterious lab in Hawaii. But once in the rainforest, the scientists are thrust into a hostile wilderness that reveals surprising dangers at every turn. Armed only with their knowledge of the natural world, they find themselves prey to a technology of radical and unbridled power  An instant classic, pits nature against technology in vintage Michael Crichton fashion. Completed by visionary science writer Richard Preston, this boundary-pushing thriller melds scientific fact with pulse-pounding fiction to create yet another masterpiece of sophisticated, cutting-edge entertainment.","Science Fiction, Fiction, Thriller, Adventure, Mystery, Audiobook, Horror",1
"Maya, Angelou",Now Sheba Sings the Song,From a Caldecott Honor Book artist and a bestselling author comes a paean to today's black woman for all the world to sing. 84 two-color halftones.,"Poetry, Art, African American, Nonfiction",1
"Keith, Richards",Life,"With the Rolling Stones, Keith Richards created the riffs, the lyrics and the songs that roused the world, and over four decades he lived the original rock and roll taking the chances he wanted, speaking his mind, and making it all work in a way that no one before him had ever done. Now, at last, the man himself tells us the story of life in the crossfire hurricane. And what a life. Listening obsessively to Chuck Berry and Muddy Waters records as a child in post-war Kent. Learning guitar and forming a band with Mick Jagger and Brian Jones. The Rolling Stones' first fame and success as a bad-boy band. The notorious Redlands drug bust and subsequent series of confrontations with a nervous establishment that led to his enduring image as outlaw and folk hero. Creating immortal riffs such as the ones in 'Jumping Jack Flash' and 'Street Fighting Man' and 'Honky Tonk Women'. Falling in love with Anita Pallenberg and the death of Brian Jones. Tax exile in France, wildfire tours of the US, 'Exile on Main Street' and 'Some Girls'. Ever increasing fame, isolation and addiction. Falling in love with Patti Hansen. Estrangement from Mick Jagger and subsequent reconciliation. Solo albums and performances with his band the Xpensive Winos. Marriage, family and the road that goes on for ever. In a voice that is uniquely and intimately his own, with the disarming honesty that has always been his trademark, Keith Richards brings us the essential life story of our times.","Music, Biography, Nonfiction, Memoir, Autobiography, Audiobook, Biography Memoir",1
"Jacqueline, Woodson",Red at the Bone,"Moving forward and backward in time, Jacqueline Woodson's taut and powerful new novel uncovers the role that history and community have played in the experiences, decisions, and relationships of these families, and in the life of the new child.  As the book opens in 2001, it is the evening of sixteen-year-old Melody's coming of age ceremony in her grandparents' Brooklyn brownstone. Watched lovingly by her relatives and friends, making her entrance to the music of Prince, she wears a special custom-made dress. But the event is not without poignancy. Sixteen years earlier, that very dress was measured and sewn for a different wearer: Melody's mother, for her own ceremony-- a celebration that ultimately never took place.  Unfurling the history of Melody's parents and grandparents to show how they all arrived at this moment, Woodson considers not just their ambitions and successes but also the costs, the tolls they've paid for striving to overcome expectations and escape the pull of history. As it explores sexual desire and identity, ambition, gentrification, education, class and status, and the life-altering facts of parenthood, most strikingly looks at the ways in which young people must so often make long-lasting decisions about their lives--even before they have begun to figure out who they are and what they want to be.","Fiction, Historical Fiction, Audiobook, Contemporary, Literary Fiction, Adult, LGBT",1
"Marsha Forchuk, Skyrpuch",Stolen Girl,"Nadia is haunted by World War II. Her memories of the war are messy, coming back to her in pieces and flashes she can't control. Though her adoptive mother says they are safe now, Nadia's flashbacks keep coming.  Sometimes she remembers running, hunger, and isolation. But other times she remembers living with a German family, and attending big rallies where she was praised for her light hair and blue eyes. The puzzle pieces don't quite fit together, and Nadia is scared by what might be true. Could she have been raised by Nazis? Were they her real family? What part did she play in the war?  What Nadia finally discovers about her own history will shock her. But only when she understands the past can she truly face her future.  Inspired by startling true events, Marsha Forchuk Skrypuch delivers a gripping and poignant story of one girl's determination to uncover her truth.","Historical Fiction, Middle Grade, Historical, Young Adult, Fiction, World War II, War",1
"Mason, Deaver",The Feeling of Falling in Love,"From the bestselling author of I Wish You All the Best, comes a new kind of love story, about the bad decisions we sometimes make... and the people who help get us back on the right path.  Perfect for fans of Red, White, and Royal Blue by Casey McQuiston and What If It's Us by Adam Silvera and Becky Albertalli.  Just days before spring break, Neil Kearney is set to fly across the country with his childhood friend (and current friend-with-benefits) Josh, to attend his brother's wedding—until Josh tells Neil that he's in love with him and Neil doesn't return the sentiment.  With Josh still attending the wedding, Neil needs to find a new date to bring along. And, almost against his will, roommate Wyatt is drafted.  At first, Wyatt (correctly) thinks Neil is acting like a jerk. But when they get to LA, Wyatt sees a little more of where it's coming from. Slowly, Neil and Wyatt begin to understand one another… and maybe, just maybe, fall in love for the first time…","Romance, LGBT, Queer, Young Adult, Contemporary, Fiction, Transgender",1
"Jack, Kerouac",The Dharma Bums,"Two ebullient young men search for Truth the Zen way: from marathon wine-drinking bouts, poetry jam sessions, and ""yabyum"" in San Francisco's Bohemia, to solitude in the high Sierras and a vigil atop Desolation Peak in Washington State. Published just a year after On the Road put the Beat Generation on the map, The Dharma Bums is sparked by Kerouac's expansiveness, humor, and a contagious zest for life.","Fiction, Classics, Literature, Novels, Travel, Philosophy, American",1
"Amy, Reed",The Nowhere Girls,"Three misfits come together to avenge the rape of a fellow classmate and in the process trigger a change in the misogynist culture at their high school transforming the lives of everyone around them in this searing and timely story.  Who are the Nowhere Girls?  They’re everygirl. But they start with just three:  Grace Salter is the new girl in town, whose family was run out of their former community after her southern Baptist preacher mom turned into a radical liberal after falling off a horse and bumping her head.  Rosina Suarez is the queer punk girl in a conservative Mexican immigrant family, who dreams of a life playing music instead of babysitting her gaggle of cousins and waitressing at her uncle’s restaurant.  Erin Delillo is obsessed with two things: marine biology and , but they aren’t enough to distract her from her suspicion that she may in fact be an android.  When Grace learns that Lucy Moynihan, the former occupant of her new home, was run out of town for having accused the popular guys at school of gang rape, she’s incensed that Lucy never had justice. For their own personal reasons, Rosina and Erin feel equally deeply about Lucy’s tragedy, so they form an anonymous group of girls at Prescott High to resist the sexist culture at their school, which includes boycotting sex of any kind with the male students.  Told in alternating perspectives, this groundbreaking novel is an indictment of rape culture and explores with bold honesty the deepest questions about teen girls and sexuality.","Young Adult, Contemporary, Feminism, LGBT, Fiction, Realistic Fiction, Young Adult Contemporary",1
"Colin P., Clarke",Terrorism Inc.: The Financing of Terrorism Insurgency and Irregular Warfare,"This in-depth, historical analysis of terrorism investigates the major funding streams of terrorists, insurgents, guerrillas, warlords, militias, and criminal organizations throughout the world as well as the efforts of the international community to thwart their efforts.  Terrorist financing is an ongoing game of creating, concealing, and surreptitiously utilizing funds. This intriguing book considers every facet of guerrilla funding―from how activities are financed, to what insurgents do with the revenue they generate, to the range of countermeasures in place for deterring their moneymaking activities. Case studies prompt an analysis of past government responses and inform recommendations for countering irregular warfare worldwide.  Author Colin P. Clarke presents the business side of terrorism, taking a look at the cash-producing ventures he labels ""gray activities"" such as diaspora support, charities, fraudulent businesses, front companies, and money laundering as well as ""dark activities"" including kidnapping for ransom, robbery, smuggling, trafficking, and extortion. He considers the transnational efforts to stop terrorist activities―from wiretaps and electronic surveillance to financial sanctions and the freezing of funds and accounts―and points to the emergence of interagency task forces for detaining and destroying the operations of major criminal organizations across the globe.",Nonfiction,1
"Louise, Rennison",Are These My Basoomas I See Before Me: Fab Final Confessions of Georgia Nicolson,"Ohmygiddygodspyjamas! The tenth marvy book in the Confessions of Georgia Nicolson is here! Get ready to laugh like a loon on loon tablets. It's the FINAL instalment of Georgia's fab and hilarious diary! Does Georgia escape the cakeshop of luuurve? Can there be more heartbreaknosity in store? Will the Sex God pop up again unexpectedly (oo-er)! And what about the supreme accidental snogmaster Dave the Laugh? Will she FINALLY choose her only one and only? So many boys, so little time!","Young Adult, Romance, Humor, Fiction, Contemporary, Chick Lit, Teen",1
"Sabina, Khan",The Love and Lies of Rukhsana Ali,"Seventeen-year-old Rukhsana Ali tries her hardest to live up to her conservative Muslim parents’ expectations, but lately she’s finding that harder and harder to do. She rolls her eyes instead of screaming when they blatantly favor her brother and she dresses conservatively at home, saving her crop tops and makeup for parties her parents don’t know about. Luckily, only a few more months stand between her carefully monitored life in Seattle and her new life at Caltech, where she can pursue her dream of becoming an engineer.  But when her parents catch her kissing her girlfriend Ariana, all of Rukhsana’s plans fall apart. Her parents are devastated; being gay may as well be a death sentence in the Bengali community. They immediately whisk Rukhsana off to Bangladesh, where she is thrown headfirst into a world of arranged marriages and tradition. Only through reading her grandmother’s old diary is Rukhsana able to gain some much needed perspective.  Rukhsana realizes she must find the courage to fight for her love, but can she do so without losing everyone and everything in her life?","Young Adult, LGBT, Contemporary, Queer, Romance, Fiction, Lesbian",1
"Gillian, Flynn",The Grownup,"A canny young woman is struggling to survive by perpetrating various levels of mostly harmless fraud. On a rainy April morning, she is reading auras at Spiritual Palms when Susan Burke walks in. A keen observer of human behavior, our unnamed narrator immediately diagnoses beautiful, rich Susan as an unhappy woman eager to give her lovely life a drama injection. However, when the ""psychic"" visits the eerie Victorian home that has been the source of Susan's terror and grief, she realizes she may not have to pretend to believe in ghosts anymore. Miles, Susan's teenage stepson, doesn't help matters with his disturbing manner and grisly imagination. The three are soon locked in a chilling battle to discover where the evil truly lurks and what, if anything, can be done to escape it.  “The Grownup,” originally appeared as “What Do You Do?” in George R. R. Martin’s Rogues anthology.","Short Stories, Fiction, Horror, Thriller, Mystery, Mystery Thriller, Audiobook",1
"Sam, Moussavi",Hoop City: Chicago,"When Serge is recruited from the Sudan to come play basketball at a high profile prep school in Chicago, there are bigger obstacles than culture shock to contend with. His teammates are skeptical of his skills and do not fully bring him into their circle. Plus, the thoughts of Serge's father and older brother being killed by rebels back in the Sudan, consume him. Will Serge be able to put his past behind him and make something of his life in America through basketball?","Sports, Young Adult, Realistic Fiction",1
"James, Nelson",On the Volcano,"Read James Nelson's blogs and other content on the Penguin Community. Katie and her widowed father have always lived on their own, high up in a place few intruders would dare alongside the crater of a collapsed volcano. They've built a simple but happy life for themselves, far from the frontier perils of the world below-until a long-promised birthday trip to the rough-and-tumble town of Badwater takes an ugly turn and brings the outside world much too close. With it comes grave danger and unimaginable loss, but also something Katie had barely dreamed possible for a heart-pounding but tender romance, the kind to build a life on.","Historical Fiction, Young Adult, Westerns, Survival, Coming Of Age, Historical",1
"Tatiana, de Rosnay",A Secret Kept,"This stunning novel from Tatiana de Rosnay, author of the acclaimed New York Times bestseller Sarah's Key, plumbs the depths of complex family relationships and the power of a past secret to change everything in the present.  It all began with a simple seaside vacation, a brother and sister recapturing their childhood. Antoine Rey thought he had the perfect surprise for his sister Mélanie's birthday: a weekend by the sea at Noirmoutier Island, where the pair spent many happy childhood summers playing on the beach. It had been too long, Antoine thought, since they'd returned to the island - over thirty years, since their mother died and the family holidays ceased. But the island's haunting beauty triggers more than happy memories; it reminds Mélanie of something unexpected and deeply disturbing about their last island summer. When, on the drive home to Paris, she finally summons the courage to reveal what she knows to Antoine, her emotions overcome her and she loses control of the car.  Recovering from the accident in a nearby hospital, Mélanie tries to recall what caused her to crash. Antoine encounters an unexpected ally: sexy, streetwise Angèle, a mortician who will teach him new meanings for the words life, love and death. Suddenly, however, the past comes swinging back at both siblings, burdened with a dark truth about their mother, Clarisse.  Trapped in the wake of a shocking family secret shrouded by taboo, Antoine must confront his past and also his troubled relationships with his own children. How well does he really know his mother, his children, even himself? Suddenly fragile on all fronts as a son, a husband, a brother and a father, Antoine Rey will learn the truth about his family and himself the hard way. By turns thrilling, seductive and destructive, with a lingering effect that is bittersweet and redeeming, is the story of a modern family, the invisible ties that hold it together, and the impact it has throughout life.","Fiction, Historical Fiction, France, Mystery, Adult Fiction, Contemporary, Audiobook",1
"Stephen, Krensky",Leonardo da Vinci,"Discover the inspiring story of Leonardo da Vinci, the artist, inventor, and engineer of the Italian Renaissance, in this fascinating kids' biography. Leonardo was a creative genius who wanted to understand how things worked. This ebook traces his life, from his birth in a hilltop village near Florence, Italy, through to his work as a painter, sculptor, and engineer. Leonardo made hundreds of drawings and paintings, including the Mona Lisa - probably the most famous painting in the world. Learn how Leonardo made detailed sketches of the human body and designs of parachutes, helicopters, and armoured tanks - many years before the technology existed to build them.This new kids' biography series from DK goes beyond the basic facts to tell the true life stories of history's most interesting and inspiring people. Full-colour photographs and hand-drawn illustrations complement age-appropriate narrative text to create an engaging book children will enjoy reading. Definition boxes, information sidebars, inspiring quotes, and other nonfiction text features add depth, and a handy reference section at the back makes DK Life Stories the one biography series everyone will want to collect.","Biography, Art",1
"Jennifer L., Armentrout",Opposition,"Katy knows the world changed the night the Luxen came.  She can't believe Daemon welcomed his race or stood by as his kind threatened to obliterate every last human and hybrid on Earth. But the lines between good and bad have blurred, and love has become an emotion that could destroy her—could destroy them all.  Daemon will do anything to save those he loves, even if it means betrayal.  They must team with an unlikely enemy if there is any chance of surviving the invasion. But when it quickly becomes impossible to tell friend from foe, and the world is crumbling around them, they may lose everything— even what they cherish most—to ensure the survival of their friends…and mankind.","Young Adult, Fantasy, Romance, Paranormal, Aliens, Science Fiction, Paranormal Romance",1
"C. S., Lewis",That Hideous Strength: A Modern Fairy-Tale for Grown-Ups,"The final book in C. S. Lewis's acclaimed Space Trilogy, which includes Out of the Silent Planet and Perelandra, That Hideous Strength concludes the adventures of the matchless Dr. Ransom. The dark forces that were repulsed in Out of the Silent Planet and Perelandra are massed for an assault on the planet Earth itself. Word is on the wind that the mighty wizard Merlin has come back to the land of the living after many centuries, holding the key to ultimate power for that force which can find him and bend him to its will. A sinister technocratic organization is gaining power throughout Europe with a plan to ""recondition"" society, and it is up to Ransom and his friends to squelch this threat by applying age-old wisdom to a new universe dominated by science. The two groups struggle to a climactic resolution that brings the Space Trilogy to a magnificent, crashing close.","Fiction, Science Fiction, Fantasy, Christian, Classics, Christian Fiction, Science Fiction Fantasy",1
"Monica, Murphy",Playing Hard to Get,"Knox Maguire is the king of our college campus.  Star offensive tight end on the football team.  He is the complete opposite of me in every way.  I'm quiet. He's loud.  I'm shy. He's definitely not.  Everyone loves him. No one knows me.  Fresh out of a breakup, I don't really trust him, and why should I? Knox is the ultimate player. When I become his English tutor, I tell myself we need to keep things between us strictly business. Watching my mother deal with my ex-athlete father long, long ago taught me to stay far away from that type of man.  Yet Knox is impossible to resist. Next thing I know, we're getting hot and heavy in the library—and that was never part of the plan. When Knox admits he can't stop thinking about me, I have a realization.  I can't stop thinking about him either.  Instead of keeping my distance, I pull him in closer. Until somehow, we're spending all of our time together and I find myself falling for Knox. Hard.  Will this actually work between us? Or am I getting played?","Sports Romance, Romance, Sports, College, Football, New Adult, Friends To Lovers",1
"Orson Scott, Card",Ender's Shadow,"Welcome to Battleschool.  Growing up is never easy. But try living on the mean streets as a child begging for food and fighting like a dog with ruthless gangs of starving kids who wouldn't hesitate to pound your skull into pulp for a scrap of apple. If Bean has learned anything on the streets, it's how to survive. And not with fists. He is way too small for that. But with brains.  Bean is a genius with a magician's ability to zero in on his enemy and exploit his weakness.  What better quality for a future general to lead the Earth in a final climactic battle against a hostile alien race, known as Buggers. At Battleschool Bean meets and befriends another future commander - Ender Wiggins - perhaps his only true rival.  Only one problem: for Bean and Ender, the future is now.  is the book that launched The Shadow Series, and the parallel novel to Orson Scott Card's science fiction classic, .","Science Fiction, Fiction, Young Adult, Fantasy, Science Fiction Fantasy, Audiobook, Space",1
"Sarah J., Maas",Kingdom of Ash,"An alternative cover edition for this ISBN can be found here.  Aelin Galathynius has vowed to save her people ― but at a tremendous cost. Locked within an iron coffin by the Queen of the Fae, Aelin must draw upon her fiery will as she endures months of torture. The knowledge that yielding to Maeve will doom those she loves keeps her from breaking, but her resolve is unraveling with each passing day…  With Aelin captured, friends and allies are scattered to different fates. Some bonds will grow even deeper, while others will be severed forever. As destinies weave together at last, all must fight if Erilea is to have any hope of salvation.  Years in the making, Sarah J. Maas's bestselling Throne of Glass series draws to an explosive conclusion as Aelin fights to save herself―and the promise of a better world.","Young Adult, Romance, Romantasy, Fae, Fiction, Magic, New Adult",1
"Ann, Brashares",The Second Summer Of The Sisterhood,"Can't wait for the next installment of the Pants? Check out the SPECIAL EDITION of The Second Summer of the Sisterhood , in stores now! Inside you'll find an exclusive ""Who's Your Soul Mate Quiz"" and a sneak peak at the third book, Girls in Pants.  With a bit of last summer's sand in the pockets, the Traveling Pants and the Sisterhood that wears them embark on their 16th summer.  Impulsively sets off for Alabama, wanting to both confront her demons about her family and avoid them all at once.  Spends a blissful week with Kostos, making the unexplainable silence that follows his visit even more painful.  Is concerned that her mother is making a fool of herself over a man. When she discovers that her mother borrowed the Pants to wear on a date, she's certain of it.  Not about to spend another summer working at Wallman's, she takes a film course only to find it's what happens off-camera that teaches her the most.","Young Adult, Fiction, Chick Lit, Contemporary, Romance, Teen, Realistic Fiction",1
"Christina Hammonds, Reed",The Black Kids,"Ashley Bennett and her friends are living the charmed life. It’s the end of senior year and they’re spending more time at the beach than in the classroom. They can already feel the sunny days and endless possibilities of summer.  Everything changes one afternoon in April, when four LAPD officers are acquitted after beating a black man named Rodney King half to death. Suddenly, Ashley’s not just one of the girls. She’s one of the black kids.  As violent protests engulf LA and the city burns, Ashley tries to continue on as if life were normal. Even as her self-destructive sister gets dangerously involved in the riots. Even as the model black family façade her wealthy and prominent parents have built starts to crumble. Even as her best friends help spread a rumor that could completely derail the future of her classmate and fellow black kid, LaShawn Johnson.  With her world splintering around her, Ashley, along with the rest of LA, is left to question who is the ? And who is the ?","Young Adult, Historical Fiction, Contemporary, Fiction, Audiobook, Historical, Race",1
"Anna, Todd",After We Collided,"Tessa has everything to lose. Hardin has nothing to lose… except her.  After a tumultuous beginning to their relationship, Tessa and Hardin were on the path to making things work. Tessa knew Hardin could be cruel, but when a bombshell revelation is dropped about the origins of their relationship—and Hardin’s mysterious past—Tessa is beside herself.  Hardin will always be… Hardin. But is he really the deep, thoughtful guy Tessa fell madly in love with despite his angry exterior—or has he been a stranger all along? She wishes she could walk away. It’s just not that easy. Not with the memory of passionate nights spent in his arms. His electric touch. His hungry kisses.  Still, Tessa’s not sure she can endure one more broken promise. She put so much on hold for Hardin—school, friends, her mom, a relationship with a guy who really loved her, and now possibly even a promising new career. She needs to move forward with her life.  Hardin knows he made a mistake, possibly the biggest one of his life. He’s not going down without a fight. But can he change? he change for love?  Book Two of the After series—now newly revised and expanded, Anna Todd’s After fan-fiction racked up 1 billion reads online and captivated readers across the globe. Experience the Internet’s most talked-about book for yourself!","Romance, New Adult, Young Adult, Contemporary, Fiction, College, Contemporary Romance",1
"E., Lockhart",Fly on the Wall: How One Girl Saw Everything,"At the Manhattan School for Art and Music, where everyone is ""different"" and everyone is ""special,"" Gretchen Yee feels ordinary. She's the kind of girl who sits alone at lunch, drawing pictures of Spider-Man, so she won't have to talk to anyone; who has a crush on Titus but won't do anything about it; who has no one to hang out with when her best (and only real) friend Katya is busy.  One day, Gretchen wishes that she could be a fly on the wall in the boys' locker room—just to learn more about guys. What are they really like? What do they really talk about? Are they really cretins most of the time?  is the story of how that wish comes true.","Young Adult, Contemporary, Fantasy, Fiction, Romance, Magical Realism, Chick Lit",1
"Jim, Ottaviani",The Imitation Game: Alan Turing Decoded,"Award winning authors Jim Ottaviani and Leland Purvis present a historically accurate graphic novel biography of English mathematician and scientist Alan Turing in The Imitation Game.   English mathematician and scientist Alan Turing (1912–1954) is credited with many of the foundational principles of contemporary computer science. The Imitation Game presents a historically accurate graphic novel biography of Turing’s life, including his groundbreaking work on the fundamentals of cryptography and artificial intelligence. His code breaking efforts led to the cracking of the German Enigma during World War II, work that saved countless lives and accelerated the Allied defeat of the Nazis. While Turing’s achievements remain relevant decades after his death, the story of his life in post-war Europe continues to fascinate audiences today.   Award-winning duo Jim Ottaviani (the #1 bestselling author of and ) and artist Leland Purvis (an Eisner and Ignatz Award nominee and occasional reviewer for the ) present a factually detailed account of Turing’s life and groundbreaking research—as an unconventional genius who was arrested, tried, convicted, and punished for his openly gay lifestyle, and whose innovative work still fuels the computing and communication systems that define our modern world. Computer science buffs, comics fans, and history aficionados will be captivated by this riveting and tragic story of one of the 20th century’s most unsung heroes.  ","Graphic Novels, Nonfiction, Biography, History, Comics, Science, LGBT",1
"Morgan, Matson",Since You've Been Gone,"It was Sloane who yanked Emily out of her shell and made life 100% interesting. But right before what should have been the most epic summer, Sloane just…disappears. All she leaves behind is a to-do list.  On it, thirteen Sloane-inspired tasks that Emily would normally never try. But what if they could bring her best friend back?  Apple picking at night? Okay, easy enough.  Sure. Why not?  Um...  Emily now has this unexpected summer, and the help of Frank Porter ( unexpected), to check things off Sloane's list. Who knows what she’ll find?  Wait...what?","Young Adult, Contemporary, Romance, Fiction, Young Adult Contemporary, Realistic Fiction, Audiobook",1
"Angie, Thomas",The Hate U Give,"Sixteen-year-old Starr Carter moves between two worlds: the poor neighborhood where she lives and the fancy suburban prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Khalil was unarmed.  Soon afterward, his death is a national headline. Some are calling him a thug, maybe even a drug dealer and a gangbanger. Protesters are taking to the streets in Khalil’s name. Some cops and the local drug lord try to intimidate Starr and her family. What everyone wants to know is: what really went down that night? And the only person alive who can answer that is Starr.  But what Starr does—or does not—say could upend her community. It could also endanger her life.  --front flap","Young Adult, Fiction, Contemporary, Audiobook, Realistic Fiction, Race, Social Justice",1
"Rebecca, Stead",The List of Things That Will Not Change,"After her parents' divorce, Bea's life became different in many ways. But she can always look back at the list she keeps in her green notebook to remember the things that will stay the same. The first and most important: Mom and Dad will always love Bea, and each other.  When Dad tells Bea that he and his boyfriend, Jesse, are getting married, Bea is thrilled. Bea loves Jesse, and when he and Dad get married, she'll finally (finally!) have what she's always wanted—a sister. Even though she's never met Jesse's daughter, Sonia, Bea is sure that they'll be ""just like sisters anywhere.""  As the wedding day approaches, Bea will learn that making a new family brings questions, surprises, and joy.","Middle Grade, Realistic Fiction, LGBT, Fiction, Family, Contemporary, Audiobook",1
"Cammie, McGovern",Say What You Will,"John Green's The Fault in Our Stars meets Rainbow Rowell's Eleanor & Park in this beautifully written, incredibly honest, and emotionally poignant novel. Cammie McGovern's insightful young adult debut is a heartfelt and heartbreaking story about how we can all feel lost until we find someone who loves us because of our faults, not in spite of them.  Born with cerebral palsy, Amy can't walk without a walker, talk without a voice box, or even fully control her facial expressions. Plagued by obsessive-compulsive disorder, Matthew is consumed with repeated thoughts, neurotic rituals, and crippling fear. Both in desperate need of someone to help them reach out to the world, Amy and Matthew are more alike than either ever realized.  When Amy decides to hire student aides to help her in her senior year at Coral Hills High School, these two teens are thrust into each other's lives. As they begin to spend time with each other, what started as a blossoming friendship eventually grows into something neither expected.","Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Disability, Mental Health",1
"Erik J., Brown",All That's Left in the World,"What If It's Us meets They Both Die at the End in this postapocalyptic, queer YA adventure romance from debut author Erik J. Brown. Perfect for fans of Adam Silvera, Alex London, and Heartstopper by Alice Oseman.  When Andrew stumbles upon Jamie's house, he's injured, starved, and has nothing left to lose. A deadly pathogen has killed off most of the world's population, including everyone both boys have ever loved. And if this new world has taught them anything, it's to be scared of what other desperate people will do . . . so why does it seem so easy for them to trust each other?  After danger breaches their shelter, they flee south in search of civilization. But something isn't adding up about Andrew's story, and it could cost them everything. And Jamie has a secret, too. He's starting to feel something more than friendship for Andrew, adding another layer of fear and confusion to an already tumultuous journey.  The road ahead of them is long, and to survive, they'll have to shed their secrets, face the consequences of their actions, and find the courage to fight for the future they desire, together. Only one thing feels certain: all that's left in their world is the undeniable pull they have toward each other.","Romance, LGBT, Young Adult, Queer, Dystopia, Science Fiction, Fiction",1
"Marcus, Emerson",Recess Warriors: Hero Is A Four-Letter Word,"Saving the world... one playground at a time.  When imaginations go wild in the schoolyard, anything can happen. Normal kids become world-saving heroes, girls become power-hungry pirates, and zombies take over the school after being infected by the dreaded epidemic—cooties! It's up to Scrap, his partner Yoshi (don't you dare call her a sidekick!), and Clinton, the baddest cowboy in the, um, badlands, to stop recess from collapsing into total apocalyptic chaos.  With dynamic full-color art and nonstop action, is an irresistibly fun middle-grade graphic novel from Marcus Emerson, the creator of the hit self-published series,","Graphic Novels, Fantasy, Middle Grade, Comics, Juvenile, Adventure, Childrens",1
"Lincoln, Peirce",Big Nate: The Crowd Goes Wild,"11-year-old Nate Wright steps up to the plate! In this collection of comics from The New York Times best-selling series, everyone’s favorite sixth-grade prankster takes a swing at entrepreneurship with a “Free Cold Water” stand, campaigns against Social Studies as Class President, and breaks out of a batting slump. While Nate’s big ideas aren’t always grand slams, he and his friends can turn any day into a win.Based on cartoonist Lincoln Peirce’s hilarious childhood memories and teaching experiences, Big Nate is a home run for readers everywhere.","Graphic Novels, Comics, Childrens, Humor, Fiction, Middle Grade, School",1
"Steven, Brezenoff",The Absolute Value of -1,"“Brezenoff’s enviable prose captures distinct, compelling characters as they struggle through the often heartbreaking work of becoming adults. Readers will identify with Lily, Noah, and Simon as they try to reconcile their longing for connection with their need to break free.”  —Sara Zarr, National Book Award Nominee and author of Once Was Lost.  The absolute value of any number, positive or negative, is its distance from |-1| = 1  Noah, Lily, and Simon have been a trio forever. But as they enter high school, their relationships shift and their world starts to fall apart. Privately, each is dealing with a family crisis—divorce, abuse, and a parent's illness. Yet as they try to escape the pain and reach out for the connections they once counted on, they slip—like soap in a shower. Noah’s got it bad for Lily, but he knows too well Lily sees only Simon. Simon is indifferent, suddenly inscrutable to his friends. All stand alone in their heartache and grief.  In his luminous YA novel, Steve Brezenoff explores the changing value of relationships as the characters realize that the distances between them are far greater than they knew.","Young Adult, Contemporary, Fiction, Realistic Fiction, Death, Teen",1
"Art, Spiegelman",Maus 1: A Survivor's Tale: My Father Bleeds History,"The first installment of the Pulitzer Prize-winning graphic novel acclaimed as “the most affecting and successful narrative ever done about the Holocaust” (Wall Street Journal) and “the first masterpiece in comic book history” (The New Yorker).  A brutally moving work of art—widely hailed as the greatest graphic novel ever written—Maus recounts the chilling experiences of the author’s father during the Holocaust, with Jews drawn as wide-eyed mice and Nazis as menacing cats.  Maus is a haunting tale within a tale, weaving the author’s account of his tortured relationship with his aging father into an astonishing retelling of one of history's most unspeakable tragedies. It is an unforgettable story of survival and a disarming look at the legacy of trauma.","Graphic Novels, Comics, History, Nonfiction, Memoir, Holocaust, Biography",1
"Andrea, Robertson",Snakeroot,"Fans asked for it, and now they've got it!  Andrea Cremer is continuing the story she began in in her internationally bestselling trilogy: Nightshade, Wolfsbane and Bloodrose.  Bosque Mar haunts the dreams of both Adne and Logan, trying to escape for the Nether, where Calla, Shay and the other Guardians trapped him in the final battle in the War of All Against All...  Will he turn Adne to the dark side? Will Logan reclaim his birthright? And will darkness take over our world?","Young Adult, Fantasy, Paranormal, Werewolves, Romance, Magic, Supernatural",1
"Orlagh, Collins",All the Invisible Things,"A warm, witty, important story about being a young woman today, and what it's like to find a real connection amid all the noise. Perfect for fans of Holly Bourne and Laura Steven's The Exact Opposite of Okay.  Vetty's family is moving back to London, and all she can think about is seeing Pez again. They were inseparable when they were small - roaming the city in the long summers, sharing everything. But everyone's telling her it'll be different now. After all, a boy and a girl can't really be friends without feelings getting in the way, can they?  Vetty thinks differently ... until Pez tells her she's 'not like other girls'. But what does that even mean? Is it a good thing or not? Suddenly she's wondering whether she wants him to see her like the others - like the ultra-glamorous March, who's worked some sort of spell on Pez, or the girls in the videos that Pez has hidden on his laptop.  How can she measure up to them? And who says that's what a girl is to be like anyway?","LGBT, Young Adult, Contemporary, Queer, Romance, Fiction, Bisexual",1
